,,第一組,,,,,,,,第二組,,,,,,,,第三組,,,,,,,,第四組,,,,,,
0.1N HNO3,,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A)
20,,0.27799,,-1.280170137,0.03088,-3.477646554,0.11821,-2.135292575,,0.29889,,-1.207679666,0.05682,-2.867866903,0.07265,-2.622101889,,0.29843,,-1.20921988,0.06922,-2.670465441,-0.00018,#NUM!,,0.29099,,-1.234466377,0.05122,-2.971625198,0.095,-2.353878387
30,,0.26824,,-1.315873177,0.02113,-3.857061447,0.12796,-2.056037564,,0.27272,,-1.299309651,0.03065,-3.485122617,0.09882,-2.314455266,,0.27942,,-1.275039253,0.05021,-2.991541069,0.01883,-3.972303936,,0.27052,,-1.307409246,0.03075,-3.481865285,0.11547,-2.158744523
40,,0.25286,,-1.374919303,0.00575,-5.158555424,0.14334,-1.942535848,,0.25037,,-1.384815455,0.0083,-4.791499764,0.12117,-2.110560761,,0.26742,,-1.318934823,0.03821,-3.264658018,0.03083,-3.479267037,,0.25791,,-1.355144592,0.01814,-4.009635834,0.12808,-2.05510021
50,,0.24889,,-1.390744247,0.00178,-6.331141915,0.14731,-1.915216069,,0.24429,,-1.409399235,0.00222,-6.110248083,0.12725,-2.061601624,,0.24187,,-1.419354887,0.01266,-4.369307862,0.05638,-2.875640793,,0.23653,,-1.441680229,-0.00324,#NUM!,0.14946,-1.90072648
60,,0.24711,,-1.397921697,0,無,0.14909,-1.903205129,,0.24207,,-1.418528338,0,無,0.12947,-2.044306085,,0.23775,,-1.436535578,0.00854,-4.762994271,0.0605,-2.805111914,,0.24154,,-1.420720188,0.00177,-6.336775732,0.14445,-1.934821852
70,,,,,,,,,,,,,,,,,,0.22921,,-1.473116665,0,無,0.06904,-2.673069232,,0.23977,,-1.428075148,0,無,0.14622,-1.922642942
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3N HNO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time(min),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A),,Absorbance(550nm),,lnA,A-A∞,ln(A-A∞),A0-A,ln(A0-A)
0,,0.39863,,-0.919721611,0.05035,-2.98875666,0,無,,0.36401,,-1.010573939,0.13394,-2.010363341,0,無,,0.36266,,-1.014289523,0.14925,-1.902132527,0,無,,0.37437,,-0.982510666,0.14661,-1.919979279,0,
10,,0.34828,,-1.054748525,0.10663,-2.238390381,0.05035,-2.98875666,,0.33132,,-1.104670603,0.10125,-2.290162573,0.03269,-3.420686058,,0.34218,,-1.072418365,0.12877,-2.049727412,0.02048,-3.888306479,,0.36602,,-1.005067302,0.13826,-1.978619308,0.00835,-4.78549374
20,,0.27152,,-1.303719477,0.02987,-3.510900647,0.12711,-2.062702426,,0.28623,,-1.250959596,0.05616,-2.879550519,0.07778,-2.55387095,,0.25725,,-1.357706904,0.04384,-3.127208636,0.10541,-2.249897771,,0.2766,,-1.28518286,0.04884,-3.01920563,0.09777,-2.325137497
30,,0.25659,,-1.360275799,0.01494,-4.203713099,0.14204,-1.951646571,,0.25663,,-1.36011992,0.02656,-3.628348954,0.10738,-2.231381334,,0.25381,,-1.371169323,0.0404,-3.208925494,0.10885,-2.217784491,,0.25126,,-1.381267019,0.0235,-3.750754858,0.12311,-2.094677014
40,,0.24295,,-1.414899618,0.0013,-6.645391015,0.15568,-1.859952661,,0.24152,,-1.420802994,0.01145,-4.469765549,0.12249,-2.099725885,,0.2331,,-1.456287733,0.01969,-3.927644386,0.12956,-2.043611185,,0.23589,,-1.444389684,0.00813,-4.812194355,0.13848,-1.977029368
50,,0.24322,,-1.413788895,0.00157,-6.45667966,0.15541,-1.861688493,,0.23152,,-1.463089016,0.00145,-6.536191723,0.13249,-2.021248108,,0.21478,,-1.538141031,0.00137,-6.592944539,0.14788,-1.911354145,,0.22772,,-1.479638475,-4E-05,#NUM!,0.14665,-1.919706484
60,,0.24165,,-1.420264881,0,無,0.15698,-1.85163687,,0.23007,,-1.469371669,0,無,0.13394,-2.010363341,,0.21341,,-1.544540081,0,無,0.14925,-1.902132527,,0.23106,,-1.465077862,0.0033,-5.713832811,0.14331,-1.942745163
70,,,,,,,,,,,,,,,,,,,,,,,,,,0.22776,,-1.479462836,0,,0.14661,-1.919979279
